#              step            E_total                m_x                m_y                m_z             E_exch            E_demag 
#                                    J                                                                           J                  J 
                 0 5.945191985736e-18 4.405381553373e-02 -4.405381553373e-02 2.250223517569e-02 4.594837720600e-18 1.350354265136e-18 
                 1 5.121665346044e-18 4.314686559581e-02 -4.314686559580e-02 2.710017581954e-02 3.880645621435e-18 1.241019724609e-18 
                 2 4.210123221932e-18 4.281259949171e-02 -4.281259949169e-02 2.748294296920e-02 3.023802308478e-18 1.186320913454e-18 
                 3 3.788780814653e-18 4.259933412798e-02 -4.259933412796e-02 2.756979135809e-02 2.628988629298e-18 1.159792185355e-18 
                 4 3.739092709752e-18 4.243888660541e-02 -4.243888660539e-02 2.748326757035e-02 2.593467754975e-18 1.145624954778e-18 
                 5 3.731462407766e-18 4.227594316385e-02 -4.227594316383e-02 2.737171574429e-02 2.598874037993e-18 1.132588369774e-18 
                 6 3.723156824476e-18 4.203076969007e-02 -4.203076969005e-02 2.719224084243e-02 2.608614469350e-18 1.114542355127e-18 
                 7 3.703605289845e-18 4.071849715929e-02 -4.071849715925e-02 2.614890577410e-02 2.671773360751e-18 1.031831929094e-18 
                 8 3.724357380145e-18 4.010265333362e-02 -4.010265333358e-02 2.563121571399e-02 2.706915115430e-18 1.017442264715e-18 
                 9 3.703108416928e-18 3.997616138322e-02 -3.997616138318e-02 2.556561130865e-02 2.688329858905e-18 1.014778558023e-18 
                10 3.698691603038e-18 3.988774505474e-02 -3.988774505469e-02 2.552159550034e-02 2.685531663535e-18 1.013159939503e-18 
                11 3.698453962061e-18 3.980112971095e-02 -3.980112971091e-02 2.548012104282e-02 2.686730230253e-18 1.011723731808e-18 
                12 3.698202707112e-18 3.969311608609e-02 -3.969311608604e-02 2.543082831477e-02 2.688213457173e-18 1.009989249939e-18 
                13 3.695837186841e-18 3.773939815717e-02 -3.773939815711e-02 2.459126054982e-02 2.715286154796e-18 9.805510320454e-19 
                14 3.697212014292e-18 3.664707392387e-02 -3.664707392380e-02 2.474336614755e-02 2.718125203458e-18 9.790868108340e-19 
                15 3.702780105978e-18 3.638660602780e-02 -3.638660602772e-02 2.474272332473e-02 2.722385421776e-18 9.803946842023e-19 
                16 3.695301473439e-18 3.632207904276e-02 -3.632207904268e-02 2.474424837055e-02 2.715207071842e-18 9.800944015972e-19 
                17 3.695175605498e-18 3.626368196245e-02 -3.626368196237e-02 2.474528028556e-02 2.715149745819e-18 9.800258596791e-19 
                18 3.695143008384e-18 3.620403902470e-02 -3.620403902463e-02 2.474619032165e-02 2.715173677529e-18 9.799693308545e-19 
                19 3.694949349585e-18 3.564555021572e-02 -3.564555021563e-02 2.475332884463e-02 2.715433773257e-18 9.795155763283e-19 
                20 3.694848203794e-18 3.545921267795e-02 -3.545921267786e-02 2.475307782178e-02 2.715324835115e-18 9.795233686791e-19 
                21 3.694719191566e-18 3.510558572409e-02 -3.510558572399e-02 2.475381717487e-02 2.715382606040e-18 9.793365855261e-19 
                22 3.694675007467e-18 3.501425024659e-02 -3.501425024649e-02 2.475397137520e-02 2.715390407333e-18 9.792846001343e-19 
                23 3.694591959578e-18 3.479557052630e-02 -3.479557052620e-02 2.475418198571e-02 2.715429343141e-18 9.791626164369e-19 
                24 3.694561458895e-18 3.472357300627e-02 -3.472357300617e-02 2.475419319542e-02 2.715437714065e-18 9.791237448307e-19 
                25 3.694405618205e-18 3.431731071030e-02 -3.431731071019e-02 2.475400241165e-02 2.715501504500e-18 9.789041137047e-19 
                26 3.694376393868e-18 3.424619649897e-02 -3.424619649887e-02 2.475391319817e-02 2.715509817015e-18 9.788665768533e-19 
                27 3.694234767776e-18 3.386244684383e-02 -3.386244684372e-02 2.475321820326e-02 2.715571422904e-18 9.786633448726e-19 
                28 3.694205923362e-18 3.380716081417e-02 -3.380716081406e-02 2.475309518742e-02 2.715571552247e-18 9.786343711150e-19 
                29 3.694158256510e-18 3.368439916799e-02 -3.368439916788e-02 2.475280009260e-02 2.715587754226e-18 9.785705022837e-19 
                30 3.694130872641e-18 3.361402015310e-02 -3.361402015299e-02 2.475262116632e-02 2.715596847578e-18 9.785340250634e-19 
                31 3.691712021762e-18 2.640067567167e-02 -2.640067567145e-02 2.466961984233e-02 2.717531284071e-18 9.741807376913e-19 
                32 3.691845164989e-18 2.630694046267e-02 -2.630694046244e-02 2.467391446852e-02 2.717615795557e-18 9.742293694321e-19 
                33 3.691496170705e-18 2.626658197064e-02 -2.626658197042e-02 2.467553384232e-02 2.717264255145e-18 9.742319155593e-19 
                34 3.691480204275e-18 2.622818920807e-02 -2.622818920785e-02 2.467697528428e-02 2.717239284870e-18 9.742409194047e-19 
                35 3.691358092092e-18 2.590516854939e-02 -2.590516854916e-02 2.468819835517e-02 2.717058284948e-18 9.742998071446e-19 
                36 3.691238196890e-18 2.557436658460e-02 -2.557436658436e-02 2.469377446128e-02 2.716996942210e-18 9.742412546793e-19 
                37 3.693745863747e-18 1.304011982535e-02 -1.304011982482e-02 2.449336187295e-02 2.725257589037e-18 9.684882747095e-19 
                38 3.688826829753e-18 1.296789323688e-02 -1.296789323636e-02 2.450086499076e-02 2.720578438602e-18 9.682483911514e-19 
                39 3.687930159486e-18 1.291418556265e-02 -1.291418556213e-02 2.450511357614e-02 2.719724083276e-18 9.682060762105e-19 
                40 3.687828143461e-18 1.287145477320e-02 -1.287145477268e-02 2.450812886262e-02 2.719632666687e-18 9.681954767736e-19 
                41 3.687796472326e-18 1.282008953306e-02 -1.282008953254e-02 2.451156734795e-02 2.719605347838e-18 9.681911244877e-19 
                42 3.687769005526e-18 1.273816343817e-02 -1.273816343765e-02 2.451676619662e-02 2.719577178212e-18 9.681918273148e-19 
                43 3.687735138618e-18 1.250930017699e-02 -1.250930017648e-02 2.453017905433e-02 2.719525269977e-18 9.682098686417e-19 
                44 3.687721269929e-18 1.245944000976e-02 -1.245944000925e-02 2.453248070752e-02 2.719509305417e-18 9.682119645119e-19 
                45 3.687712369654e-18 1.241910786218e-02 -1.241910786167e-02 2.453423823129e-02 2.719500730401e-18 9.682116392531e-19 
                46 3.687707388683e-18 1.238796308973e-02 -1.238796308923e-02 2.453552936860e-02 2.719496994515e-18 9.682103941685e-19 
                47 3.687665817509e-18 1.210115848547e-02 -1.210115848497e-02 2.454692207339e-02 2.719472642761e-18 9.681931747487e-19 
                48 3.687619115089e-18 1.176361706225e-02 -1.176361706176e-02 2.455497128249e-02 2.719511744728e-18 9.681073703613e-19 
                49 3.691816365462e-18 9.068253857976e-03 -9.068253857555e-03 2.457052112105e-02 2.724237829493e-18 9.675785359694e-19 
                50 3.687528705861e-18 9.056652760933e-03 -9.056652760513e-03 2.456982096728e-02 2.720115401849e-18 9.674133040116e-19 
                51 3.687390750085e-18 9.044217135026e-03 -9.044217134606e-03 2.456894185897e-02 2.720012152226e-18 9.673785978594e-19 
                52 3.687326791142e-18 9.028587881920e-03 -9.028587881499e-03 2.456771351724e-02 2.719978848412e-18 9.673479427301e-19 
                53 3.687274569292e-18 8.983335577064e-03 -8.983335576643e-03 2.456395164181e-02 2.719985926485e-18 9.672886428061e-19 
                54 3.687265059977e-18 8.939231612332e-03 -8.939231611912e-03 2.456040939461e-02 2.719993369835e-18 9.672716901417e-19 
                55 3.687255222776e-18 8.689077850128e-03 -8.689077849711e-03 2.454374301926e-02 2.720044427687e-18 9.672107950888e-19 
                56 3.687216137895e-18 8.674253799997e-03 -8.674253799581e-03 2.454360661393e-02 2.720007680443e-18 9.672084574521e-19 
                57 3.687213663256e-18 8.659758116044e-03 -8.659758115628e-03 2.454347749048e-02 2.720006769031e-18 9.672068942256e-19 
                58 3.687211183524e-18 8.643759962756e-03 -8.643759962340e-03 2.454333806450e-02 2.720006269578e-18 9.672049139460e-19 
                59 3.687077641671e-18 7.484292836435e-03 -7.484292836044e-03 2.453065535663e-02 2.720057583563e-18 9.670200581078e-19 
                60 3.687057373133e-18 7.408357201377e-03 -7.408357200988e-03 2.453121916648e-02 2.720099440763e-18 9.669579323697e-19 
                61 3.687043570549e-18 7.360114489637e-03 -7.360114489249e-03 2.453111456690e-02 2.720102025969e-18 9.669415445794e-19 
                62 3.687038816861e-18 7.330645048071e-03 -7.330645047685e-03 2.453111937922e-02 2.720105049537e-18 9.669337673243e-19 
                63 3.687035606843e-18 7.306360838722e-03 -7.306360838336e-03 2.453111764282e-02 2.720108469151e-18 9.669271376917e-19 
                64 3.687033607664e-18 7.291567346048e-03 -7.291567345663e-03 2.453111291473e-02 2.720110560690e-18 9.669230469742e-19 
                65 3.687030176768e-18 7.256846586753e-03 -7.256846586369e-03 2.453109584776e-02 2.720116706258e-18 9.669134705097e-19 
                66 3.686989843100e-18 6.835782233621e-03 -6.835782233251e-03 2.453057799607e-02 2.720193157780e-18 9.667966853201e-19 
                67 3.688892132880e-18 8.768183770626e-04 -8.768183768834e-04 2.445688418163e-02 2.723761472009e-18 9.651306608713e-19 
